genesymbol,test_statistic,p-value,padj
Gm2495,-2.6021077,0.002598266,0.04845447
Mus81,-2.601293566,0.002607542,0.048414023
Pgm2l1,-2.599806578,0.002620054,0.048373645
Col4a3,2.599218675,0.002625663,0.04875
Kpna2-ps,2.596207989,0.002650041,0.049125729
4833422C13Rik,-2.596200641,0.002650041,0.049084859
Usp32,2.595452312,0.002658023,0.049459684
5-Sep,-2.595063928,0.002661043,0.049418605
Psen1,-2.594466601,0.002666221,0.049792531
Pde4d,2.59426662,0.002668594,0.049751244
Tro,-2.593749027,0.002672477,0.049710025
Slc31a2,-2.593693022,0.002672477,0.049668874
Commd7,2.593565721,0.002673771,0.049627792
Tes3-ps,2.592409167,0.002685421,0.049586777
Aifm3,-2.59216396,0.002686931,0.04954583
