genesymbol,test_statistic,p-value,padj
Filip1,-3.706839624,3.99E-05,0.002666667
Thpo,-3.70632403,3.99E-05,0.002659574
Srsf7,-3.702286734,4.10E-05,0.00265252
Limd2,-3.701188055,4.10E-05,0.002645503
A330069E16Rik,3.70105553,4.10E-05,0.002638522
Unc80,-3.697581344,4.21E-05,0.002631579
Slitrk4,3.696846936,4.23E-05,0.002624672
Sertm1,3.696316277,4.23E-05,0.002617801
Npy2r,-3.696304602,4.23E-05,0.002610966
Acsm2,3.690709553,4.34E-05,0.002604167
C230021G24Rik,3.681347902,4.53E-05,0.002597403
Gid8,3.679357963,4.55E-05,0.002590674
Kcnt2,-3.675938661,4.66E-05,0.002583979
Uqcc1,-3.673439113,4.68E-05,0.00257732
Kif21a,-3.672514855,4.75E-05,0.002570694
Tbk1,3.671718449,4.75E-05,0.002564103
Rbbp7,3.671328973,4.75E-05,0.002557545
Gm26461,3.671054614,4.75E-05,0.00255102
Yipf5,3.670251819,4.81E-05,0.002544529
Gm15564,3.670072207,4.81E-05,0.002538071
Ttyh3,3.667491847,4.81E-05,0.002531646
1700030C10Rik,-3.665276595,4.92E-05,0.002525253
Gsg1l,3.663179254,4.94E-05,0.002518892
Uckl1,-3.662460654,4.94E-05,0.002512563
Erc2,3.660570851,4.96E-05,0.002506266
Rspo3,-3.658442027,5.03E-05,0.0025
Dnajc6,-3.657092698,5.03E-05,0.002493766
Gm24715,-3.656555042,5.05E-05,0.002487562
Mtfp1,-3.650687004,5.11E-05,0.00248139
Chn1,-3.647958916,5.24E-05,0.002475248
Aig1,-3.646916838,5.24E-05,0.002469136
Zfp932,-3.644133735,5.31E-05,0.002463054
Drd4,3.638536962,5.46E-05,0.002457002
Lrp1b,-3.62595888,5.61E-05,0.00245098
Gm28347,-3.624136651,5.70E-05,0.002444988
Gm12027,-3.623084916,5.78E-05,0.002439024
Rims1,3.620185795,5.87E-05,0.00243309
Anks1b,-3.618616117,5.91E-05,0.002427184
Thap3,-3.618018853,5.93E-05,0.002421308
Gm16181,3.616231448,5.95E-05,0.002415459
Nceh1,-3.613173545,5.95E-05,0.002409639
Enpp5,-3.610915453,6.15E-05,0.002403846
Ahcyl2,-3.61081777,6.15E-05,0.002398082
Cry1,3.609922579,6.19E-05,0.002392344
Magi1,-3.608297941,6.19E-05,0.002386635
Ano6,3.603384536,6.32E-05,0.002380952
Iqsec1,-3.601782607,6.34E-05,0.002375297
Ldlrad3,-3.593745218,6.64E-05,0.002369668
Sgip1,-3.588713729,6.77E-05,0.002364066
Arhgef40,3.586191619,6.80E-05,0.002358491
Snhg9,-3.580060386,7.03E-05,0.002352941
Ctnna3,3.572432742,7.29E-05,0.002347418
Tacc2,-3.570464212,7.38E-05,0.00234192
Tor1b,-3.566558566,7.46E-05,0.002336449
B230217C12Rik,-3.566314456,7.46E-05,0.002331002
Atp5j2,-3.56477248,7.51E-05,0.002325581
Ftx,-3.562896593,7.55E-05,0.002320186
Disp2,-3.562305723,7.59E-05,0.002314815
Gm22388,-3.558699997,7.68E-05,0.002309469
6430590A07Rik,-3.55848216,7.68E-05,0.002304147
Jarid2,3.555311812,7.68E-05,0.002298851
Gm15541,3.547340501,7.98E-05,0.002293578
Gm26981,3.544427779,8.09E-05,0.004576659
Fam178a,-3.543711787,8.09E-05,0.00456621
Rab3a,-3.542654846,8.09E-05,0.004555809
Rangap1,3.541163182,8.20E-05,0.004545455
Car12,3.539873332,8.26E-05,0.004535147
Prorsd1,3.537301261,8.33E-05,0.004524887
Itga8,-3.536904798,8.35E-05,0.004514673
Cyth1,-3.533076328,8.41E-05,0.004504505
Sez6l,3.532614599,8.46E-05,0.004494382
Gabrb2,3.532059595,8.48E-05,0.004484305
Celsr2,-3.529813087,8.54E-05,0.004474273
Acvr2a,-3.52917712,8.54E-05,0.004464286
Gm13528,3.526756943,8.59E-05,0.004454343
Pim1,3.525744786,8.63E-05,0.004444444
Fanca,3.524164257,8.69E-05,0.00443459
Pitpnc1,-3.522104256,8.76E-05,0.004424779
Spcs2,-3.521398481,8.76E-05,0.004415011
Ptx3,3.520328573,8.78E-05,0.004405286
Acsl4,3.519557109,8.87E-05,0.004395604
Zdhhc5,3.511716548,9.06E-05,0.004385965
Slc7a14,3.510250546,9.13E-05,0.004376368
Cisd1,-3.507810284,9.19E-05,0.004366812
Gm29560,3.506374633,9.25E-05,0.004357298
Cacna1a,3.504857433,9.34E-05,0.004347826
Fscn1,3.502982457,9.38E-05,0.004338395
Amph,-3.501582757,9.43E-05,0.004329004
Clstn1,-3.499700849,9.56E-05,0.004319654
Psg28,-3.499504253,9.58E-05,0.004310345
2810403D21Rik,3.497411022,9.64E-05,0.004301075
Stmn3,-3.496612372,9.64E-05,0.004291845
Acvr1,3.495520582,9.64E-05,0.004282655
Grm7,3.494181493,9.69E-05,0.004273504
